,product_id,product_name,img_link,product_link,avg_rating,discounted_price
312,B00LZLQ624,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",https://m.media-amazon.com/images/I/419KXo-7kDL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Classmate-Premium-Subject-Notebook-Single/dp/B00LZLQ624/ref=sr_1_108?qid=1672903000&s=computers&sr=1-108,4.5,₹157
320,B09LQQYNZQ,Realme Smart TV Stick 4K,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31M+JM+KZIL._SY300_SX300_.jpg,https://www.amazon.in/Realme-Smart-TV-Stick-4K/dp/B09LQQYNZQ/ref=sr_1_352?qid=1672909141&s=electronics&sr=1-352,4.5,"₹4,699"
328,B09TT6BFDX,Cotbolt Silicone Protective Case Cover for LG an MR21GA Magic Remote Shockproof for LG Smart TV Remote 2021 Protective Skin Waterproof Anti Lost (Black) (Remote Not Included),https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41dNwzNOc3L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Cotbolt-Silicone-Protective-Shockproof-Waterproof/dp/B09TT6BFDX/ref=sr_1_127?qid=1672909130&s=electronics&sr=1-127,4.5,₹399
336,B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",https://m.media-amazon.com/images/I/31CtVvtFt+L._SY300_SX300_.jpg,https://www.amazon.in/Logitech-M235-Wireless-Mouse-Grey/dp/B004IO5BMQ/ref=sr_1_163?qid=1672903002&s=computers&sr=1-163,4.5,₹699
344,B0148NPH9I,"Logitech K380 Wireless Multi-Device Keyboard for Windows, Apple iOS, Apple TV Android or Chrome, Bluetooth, Compact Space-Saving Design, PC/Mac/Laptop/Smartphone/Tablet (Dark Grey)",https://m.media-amazon.com/images/I/41EIVJvXxsL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Logitech-920-007596-Multi-Device-Bluetooth-Keyboard/dp/B0148NPH9I/ref=sr_1_426?qid=1672903016&s=computers&sr=1-426,4.5,"₹2,640"
352,B09BVCVTBC,"Redragon K617 Fizz 60% Wired RGB Gaming Keyboard, 61 Keys Compact Mechanical Keyboard w/White and Grey Color Keycaps, Linear Red Switch, Pro Driver/Software Supported",https://m.media-amazon.com/images/I/41nRBNNDnNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Redragon-K617-Keyboard-Mechanical-Supported/dp/B09BVCVTBC/ref=sr_1_362?qid=1672903013&s=computers&sr=1-362,4.5,"₹2,649"
360,B08WJ86PV2,RPM Euro Games Gaming Mousepad Speed Type Extended Large (Size - 800 mm x 300 mm x 3 mm),https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41J8nz5uEUL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Games-Gaming-Mousepad-Speed-Large/dp/B08WJ86PV2/ref=sr_1_321?qid=1672903011&s=computers&sr=1-321,4.5,₹299
368,B0BJ6P3LSK,"Aqua d pure Active Copper 12-L RO+UV Water Filter Purifier for Home, Kitchen Fully Automatic UF+TDS Controller",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41NSz+RdSoL._SX342_SY445_.jpg,https://www.amazon.in/Aquadpure-Copper-RO-Automatic-Controller/dp/B0BJ6P3LSK/ref=sr_1_453?qid=1672923614&s=kitchen&sr=1-453,4.5,"₹4,999"
376,B0846D5CBP,"Casio FX-991ES Plus-2nd Edition Scientific Calculator, Black",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41PDEAuwT3L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Casio-FX-991ES-Plus-2nd-Scientific-Calculator/dp/B0846D5CBP/ref=sr_1_56?qid=1672902997&s=computers&sr=1-56,4.5,"₹1,295"
384,B00KIE28X0,"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",https://m.media-amazon.com/images/I/51UTH-oHa9L._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Camel-Camlin-Kokuyo-Acrylic-Color/dp/B00KIE28X0/ref=sr_1_334?qid=1672903011&s=computers&sr=1-334,4.5,₹310
