,product_id,product_name,img_link,product_link,avg_rating,discounted_price
680,B0116MIKKC,Goldmedal Curve Plus 202042 Plastic Spice 3-Pin 240V Universal Travel Adaptor (White),https://m.media-amazon.com/images/I/31MmkM8HTiL._SY300_SX300_QL70_ML2_.jpg,https://www.amazon.in/Goldmedal-202042-Plastic-Universal-Adaptor/dp/B0116MIKKC/ref=sr_1_103?qid=1672895777&s=electronics&sr=1-103,4.5,₹99
688,B01DJJVFPC,"Duracell Ultra Alkaline AAA Battery, 8 Pcs",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41ZrxS9SpwL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B01DJJVFPC/ref=sr_1_133?qid=1672903001&s=computers&sr=1-133,4.5,₹269
696,B08WLY8V9S,"Tukzer Gel Mouse Pad Wrist Rest Memory-Foam Ergonomic Mousepad| Cushion Wrist Support & Pain Relief| Suitable for Gaming, Computer, Laptop, Home & Office Non-Slip Rubber Base (Blue)",https://m.media-amazon.com/images/I/41i35PCzzaL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Tukzer-Memory-Foam-Ergonomic-Mousepad-Suitable/dp/B08WLY8V9S/ref=sr_1_328?qid=1672903011&s=computers&sr=1-328,4.5,₹425
704,B0B8CHJLWJ,Kyosei Advanced Tempered Glass Compatible with Google Pixel 6a with Military-Grade Anti-Explosion Edge-to-Edge Coverage Screen Protector Guard,https://m.media-amazon.com/images/I/318wXJER9zL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Compatible-Pixel-6a-Military-Grade-Anti-Explosion/dp/B0B8CHJLWJ/ref=sr_1_247?qid=1672895821&s=electronics&sr=1-247,4.5,₹299
712,B00NNQMYNE,"AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger Earphone, Waterproof (Black)",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51E0xvwRCpL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/AirCase-External-Drive-2-5-Inch-Black/dp/B00NNQMYNE/ref=sr_1_155?qid=1672903002&s=computers&sr=1-155,4.5,₹299
720,B083GKDRKR,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Black, 1500 Watt)",https://m.media-amazon.com/images/I/31S74o1sCSS._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/HAVELLS-Kettle-Coffee-Boiler-Stainless/dp/B083GKDRKR/ref=sr_1_30?qid=1672923591&s=kitchen&sr=1-30,4.5,"₹1,625"
728,B08LW31NQ6,"Lenovo 600 Bluetooth 5.0 Silent Mouse: Compact, Portable, Dongle-Free Multi-Device connectivity with Microsoft Swift Pair | 3-Level Adjustable DPI up to 2400 | Battery Life: up to 1 yr",https://m.media-amazon.com/images/I/31fORCrbSJL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Lenovo-600-Bluetooth%C2%AE-Silent-Mouse/dp/B08LW31NQ6/ref=sr_1_309?qid=1672903010&s=computers&sr=1-309,4.5,"₹1,439"
736,B00R1P3B4O,Fujifilm Instax Mini Single Pack 10 Sheets Instant Film for Fuji Instant Cameras,https://m.media-amazon.com/images/I/51fEftU7HAL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Fujifilm-Instax-Instant-Fuji-Cameras/dp/B00R1P3B4O/ref=sr_1_129?qid=1672903001&s=computers&sr=1-129,4.5,₹549
744,B00V4BGDKU,TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/219039qa+PL._SY300_SX300_.jpg,https://www.amazon.in/TP-Link-TL-UE300-Gigabit-Ethernet-Network/dp/B00V4BGDKU/ref=sr_1_110?qid=1672909129&s=electronics&sr=1-110,4.5,"₹1,099"
752,B08FYB5HHK,"TP-Link UE300C USB Type-C to RJ45 Gigabit Ethernet Network Adapter/RJ45 LAN Wired Adapter for Ultrabook, Chromebook, Laptop, Desktop, Plug & Play, USB 3.0, Foldable and Portable Design",https://m.media-amazon.com/images/I/21uJX5AqizL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-UE300C-Ethernet-Ultrabook-Chromebook/dp/B08FYB5HHK/ref=sr_1_395?qid=1672903014&s=computers&sr=1-395,4.5,"₹1,199"
760,B07TMCXRFV,"ESR Screen Protector Compatible with iPad Pro 11 Inch (2022/2021/2020/2018) and iPad Air 5/4 (2022/2020, 10.9 Inch), Tempered-Glass Film with Alignment Frame, Scratch Resistant, HD Clarity, 2 Pack",https://m.media-amazon.com/images/I/51VIQVc-6XL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/ESR-iPad-Screen-Protector-Scratch-Resistant/dp/B07TMCXRFV/ref=sr_1_372?qid=1672903013&s=computers&sr=1-372,4.5,"₹1,234"
768,B0B86CDHL1,"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",https://m.media-amazon.com/images/I/41gztmbiIgL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/oraimo-Charging-Syncing-Indicator-Compatible/dp/B0B86CDHL1/ref=sr_1_79?qid=1672909128&s=electronics&sr=1-79,4.5,₹349
784,B07G3YNLJB,Crucial BX500 240GB 3D NAND SATA 6.35 cm (2.5-inch) SSD (CT240BX500SSD1),https://m.media-amazon.com/images/I/31foPNxmwsL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Crucial-BX500-240GB-2-5-inch-CT240BX500SSD1/dp/B07G3YNLJB/ref=sr_1_247?qid=1672903007&s=computers&sr=1-247,4.5,"₹1,815"
792,B0BMXMLSMM,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices – Red, 1 Meter",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/3135yilFsfL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Lapster-compatible-OnePlus-charging-Compatible/dp/B0BMXMLSMM/ref=sr_1_97?qid=1672909129&s=electronics&sr=1-97,4.5,₹199
808,B08C4Z69LN,Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51esjcOy79L._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Crucial-PC4-25600-SODIMM-260-Pin-Memory/dp/B08C4Z69LN/ref=sr_1_210?qid=1672903005&s=computers&sr=1-210,4.5,"₹1,792"
816,B014SZO90Y,"Duracell Ultra Alkaline AA Battery, 8 Pcs",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/415nVOD7bWL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZO90Y/ref=sr_1_34?qid=1672902996&s=computers&sr=1-34,4.5,₹266
824,B075DB1F13,"Panasonic Eneloop BQ-CC55N Advanced, Smart and Quick Charger for AA & AAA Rechargeable Batteries, White",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41N+hHYrIWL._SY300_SX300_.jpg,https://www.amazon.in/Panasonic-Eneloop-BQ-CC55E-Advanced-Battery/dp/B075DB1F13/ref=sr_1_425?qid=1672903016&s=computers&sr=1-425,4.4,"₹1,500"
832,B097RJ867P,"PHILIPS Digital Air Fryer HD9252/90 with Touch Panel, uses up to 90% less fat, 7 Pre-set Menu, 1400W, 4.1 Liter, with Rapid Air Technology (Black), Large",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31nZs1BL4tL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/PHILIPS-Digital-HD9252-90-Technology/dp/B097RJ867P/ref=sr_1_107?qid=1672923596&s=kitchen&sr=1-107,4.4,"₹8,799"
840,B00LVMTA2A,Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/5145vqMSaTL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Panasonic-Lithium-CR2032-5BE-Battery/dp/B00LVMTA2A/ref=sr_1_97?qid=1672903000&s=computers&sr=1-97,4.4,₹225
848,B07L5L4GTB,Epson 003 65 ml for EcoTank L1110/L3100/L3101/L3110/L3115/L3116/L3150/L3151/L3152/L3156/L5190 Black Ink Bottle,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41PcrlfQ2iL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Epson-003-Black-Ink-Bottle/dp/B07L5L4GTB/ref=sr_1_102?qid=1672903000&s=computers&sr=1-102,4.4,₹309
856,B07KKJPTWB,"Brayden Chopro, Electric Vegetable Chopper for Kitchen with 500 ML Capacity, 400 Watts Copper Motor and 4 Bi-Level SS Blades (Black)",https://m.media-amazon.com/images/I/31GXpZTtghL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Brayden-Plastic-Express-Bi-Level-Stainless/dp/B07KKJPTWB/ref=sr_1_254?qid=1672923605&s=kitchen&sr=1-254,4.4,"₹1,599"
